embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
150, 40, wordnet, Entails, 0.477342055412, 80
150, 40, wordnet, PartOf, 0.457159671947, 588
150, 40, wordnet, InstanceOf, 0.495433528152, 664
150, 40, wordnet, plural-nouns, 0.504440601183, 2790
150, 40, wordnet, HasContext, 0.488424069457, 628
150, 40, wordnet, SimilarTo, 0.485954669005, 1226
150, 40, wordnet, RelatedTo, 0.494063926941, 73
150, 40, wordnet, past-tense, 0.497169654131, 1429
150, 40, wordnet, man-woman, 0.524472159534, 51
150, 40, wordnet, Antonym, 0.470487388987, 348
150, 40, wordnet, all-capital-cities, 0.39911050055, 96
150, 40, wordnet, city-in-state, 0.492797787159, 2165
150, 40, wordnet, DerivedFrom, 0.472789786308, 2421
150, 40, wordnet, Attribute, 0.46153251336, 107
150, 40, wordnet, adjective-to-adverb, 0.460649699846, 292
150, 40, wordnet, MadeOf, 0.467510822511, 20
150, 40, wordnet, IsA, 0.484676480341, 6316
150, 40, wordnet, Causes, 0.5, 22
200, 15, wordnet, present-participle, 0.477618563241, 2191
200, 15, wordnet, superlative, 0.418776281344, 69
200, 15, wordnet, MemberOf, 0.502296743681, 126
200, 15, wordnet, currency, 0.487132049, 96
200, 15, wordnet, nationality-adjective, 0.586566044377, 132
200, 15, wordnet, comparative, 0.422653418871, 74
200, 15, wordnet, plural-verbs, 0.471988117103, 1995
200, 15, wordnet, Entails, 0.484607402375, 97
200, 15, wordnet, PartOf, 0.465188902846, 745
200, 15, wordnet, InstanceOf, 0.495041806898, 906
200, 15, wordnet, plural-nouns, 0.471925195891, 3926
200, 15, wordnet, HasContext, 0.494254089916, 813
200, 15, wordnet, SimilarTo, 0.4887310785, 1635
200, 15, wordnet, RelatedTo, 0.494169575725, 84
200, 15, wordnet, past-tense, 0.469559944188, 2103
200, 15, wordnet, man-woman, 0.507872739495, 69
200, 15, wordnet, Antonym, 0.482260940614, 452
200, 15, wordnet, all-capital-cities, 0.404239575761, 113
200, 15, wordnet, city-in-state, 0.495079298845, 2789
200, 15, wordnet, DerivedFrom, 0.479417984628, 3359
200, 15, wordnet, Attribute, 0.460050663268, 129
200, 15, wordnet, adjective-to-adverb, 0.458321261485, 463
200, 15, wordnet, MadeOf, 0.445645413614, 32
200, 15, wordnet, IsA, 0.487240091328, 7888
200, 15, wordnet, Causes, 0.5, 24
150, 10, wordnet, present-participle, 0.481381554555, 2428
150, 10, wordnet, superlative, 0.433891214077, 74
150, 10, wordnet, MemberOf, 0.489197273315, 135
150, 10, wordnet, currency, 0.491773389518, 105
150, 10, wordnet, nationality-adjective, 0.572095972897, 135
150, 10, wordnet, comparative, 0.435286606668, 76
150, 10, wordnet, plural-verbs, 0.469059944601, 2208
150, 10, wordnet, Entails, 0.48709273183, 102
150, 10, wordnet, PartOf, 0.468053273273, 801
150, 10, wordnet, InstanceOf, 0.496610515922, 988
150, 10, wordnet, plural-nouns, 0.475092246479, 4364
150, 10, wordnet, HasContext, 0.495451060089, 877
150, 10, wordnet, SimilarTo, 0.48880082163, 1778
150, 10, wordnet, RelatedTo, 0.49293612794, 86
150, 10, wordnet, past-tense, 0.485324156398, 2333
150, 10, wordnet, man-woman, 0.49286318354, 73
150, 10, wordnet, Antonym, 0.48641489091, 486
150, 10, wordnet, all-capital-cities, 0.398783545357, 116
150, 10, wordnet, city-in-state, 0.493450915597, 2929
150, 10, wordnet, DerivedFrom, 0.482740402725, 3715
150, 10, wordnet, Attribute, 0.474226473154, 134
150, 10, wordnet, adjective-to-adverb, 0.462810752595, 538
150, 10, wordnet, MadeOf, 0.484336609337, 37
150, 10, wordnet, IsA, 0.489058636017, 8439
150, 10, wordnet, Causes, 0.5, 25
150, 25, wordnet, present-participle, 0.481825331512, 1833
150, 25, wordnet, superlative, 0.422935537852, 56
150, 25, wordnet, MemberOf, 0.488791724076, 112
150, 25, wordnet, currency, 0.493690922062, 89
150, 25, wordnet, nationality-adjective, 0.590311853742, 126
150, 25, wordnet, comparative, 0.44146549937, 68
150, 25, wordnet, plural-verbs, 0.480928824253, 1731
150, 25, wordnet, Entails, 0.479177527968, 93
150, 25, wordnet, PartOf, 0.462012567332, 665
150, 25, wordnet, InstanceOf, 0.493434726599, 788
150, 25, wordnet, plural-nouns, 0.489870604298, 3344
150, 25, wordnet, HasContext, 0.491427039631, 702
150, 25, wordnet, SimilarTo, 0.486708665674, 1406
150, 25, wordnet, RelatedTo, 0.482419085544, 78
150, 25, wordnet, past-tense, 0.490767837623, 1730
150, 25, wordnet, man-woman, 0.509942332994, 60
150, 25, wordnet, Antonym, 0.47384405846, 399
150, 25, wordnet, all-capital-cities, 0.409429298839, 108
150, 25, wordnet, city-in-state, 0.494151082829, 2494
150, 25, wordnet, DerivedFrom, 0.476218099209, 2862
150, 25, wordnet, Attribute, 0.464303568498, 119
150, 25, wordnet, adjective-to-adverb, 0.452167440784, 372
150, 25, wordnet, MadeOf, 0.454051023763, 26
150, 25, wordnet, IsA, 0.485503361094, 7051
