,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.5796019900497512,0.795,0.4211431848594915,0.7727272727272727,0.75,0.5333333333333333,0.7116935412713651,0.6312077175893422,0.7029974572578751,0.2070494720832243,0.31231624333549485,0.6241770423068961,0.5913021880381066,0.6705369032071101,0.5888252148997135,0.35475,0.1596432437606704,2
0,0.5845771144278606,0.76,0.420760848786083,0.7954545454545455,0.7250000000000001,0.6,0.719467066196703,0.6391591581309994,0.7530679408299011,0.20194480760050346,0.32716670211077015,0.6227874544218239,0.5796544873905907,0.6800488331120972,0.5947605403192796,0.354375,0.1563370259595045,2
0,0.5845771144278606,0.755,0.4247753775568725,0.7045454545454546,0.7250000000000001,0.5333333333333333,0.7194042129145832,0.6575173250586428,0.6685972210543094,0.2051432954720253,0.32553523629714676,0.6109475163391203,0.5881503911077021,0.6643911965917773,0.5901043798608269,0.347875,0.16603767806144207,2
0,0.5920398009950248,0.8250000000000001,0.4066144140699675,0.7727272727272727,0.775,0.5777777777777778,0.7188093174956641,0.6278698690570435,0.7646512478107714,0.21485852260654892,0.3117058048774959,0.6181034779029654,0.5733853885711324,0.6692457883719563,0.581610724519034,0.35125,0.1700484386722954,2
0,0.5920398009950248,0.8,0.4123494551710954,0.8181818181818182,0.7000000000000001,0.5555555555555556,0.7112822737189521,0.6258059872003042,0.7562588140736881,0.2010969265144635,0.3226549583248907,0.6211898443982677,0.5875902216318485,0.6685952099522425,0.5928673761768317,0.35325,0.17870623275104372,2
0,0.582089552238806,0.79,0.41005543873064426,0.7727272727272727,0.775,0.5333333333333333,0.7052991911107884,0.636027672401496,0.764957221957436,0.20699049898575186,0.32984754380572495,0.6144246916388529,0.574943289623456,0.6709945316875703,0.58370855505526,0.348875,0.16324724932552268,4
0,0.5771144278606966,0.8250000000000001,0.4146434716115466,0.75,0.775,0.5555555555555556,0.7187773321677741,0.6367495614681011,0.6961348942541142,0.21404480324649588,0.313949892751145,0.5896358187613974,0.5365964269701998,0.6399130938892974,0.5755218993041342,0.345125,0.16168425478744938,4
0,0.6194029850746269,0.74,0.4129229592812082,0.7727272727272727,0.7250000000000001,0.6,0.707184309875053,0.6166315995690186,0.7010960464893171,0.19800254170921772,0.31257705768479693,0.6128508166002778,0.5659040890050651,0.6544560679352676,0.5976770364306181,0.349125,0.1773869689162134,4
0,0.5796019900497512,0.715,0.4211431848594915,0.7272727272727273,0.7250000000000001,0.5333333333333333,0.7147949774864616,0.6201887561721848,0.6973150802483916,0.20871497951613113,0.3217337007543715,0.6255783612764992,0.5737352132839647,0.6851035476917249,0.5754707327056897,0.336625,0.16738802756840457,4
0,0.5597014925373134,0.735,0.4136876314280252,0.7954545454545455,0.8250000000000001,0.5777777777777778,0.7045872480427592,0.6036099290324817,0.7398017760423762,0.19865195493059384,0.31235937537761604,0.6126030997455326,0.5811718942639368,0.6634931544953256,0.5881600491199345,0.352,0.17881637338735915,4
