,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0,0.507462686567,0.625,0.370101319059,0.704545454545,0.725,0.555555555556,0.634720862191,0.608138488399,0.700527808788,0.247510299557,0.248320991113,0.529448125496,0.480677715263,0.618216626371,0.20461522718,0.03,0.14713207681,6
0,0.532338308458,0.62,0.366660294399,0.681818181818,0.75,0.577777777778,0.636167096011,0.601234091598,0.731081512862,0.241154899636,0.252337837814,0.532465469564,0.485652125194,0.616997957423,0.181948424069,0.035875,0.139962425808,6
0,0.504975124378,0.63,0.37354234372,0.659090909091,0.75,0.533333333333,0.635480936415,0.591051749859,0.699872149903,0.241409891435,0.246827883427,0.528638817071,0.480261900037,0.612622512704,0.206303724928,0.03275,0.139783451444,6
0,0.512437810945,0.605,0.383865417702,0.636363636364,0.75,0.577777777778,0.636375872751,0.595054375981,0.707871188308,0.24033456937,0.249086866209,0.534862566639,0.493141673574,0.612298299423,0.192539909947,0.028125,0.137711457069,6
0,0.539800995025,0.635,0.366469126362,0.704545454545,0.75,0.577777777778,0.633853821393,0.602331647268,0.708133451863,0.24552701004,0.25128097941,0.535081637822,0.485679496259,0.624233221502,0.193205075727,0.033625,0.144175449623,6
0,0.532338308458,0.625,0.379277384821,0.704545454545,0.75,0.577777777778,0.640207412597,0.599335198452,0.729333089167,0.245154993236,0.248325775538,0.529676881644,0.484109971878,0.611002163586,0.194126074499,0.029625,0.140656395086,6
0,0.524875621891,0.595,0.369910151023,0.704545454545,0.725,0.577777777778,0.636995611699,0.591863748144,0.674978967542,0.243620466437,0.249011711619,0.531586047448,0.486354399242,0.609363882318,0.195302906263,0.030875,0.14041244354,6
0,0.529850746269,0.66,0.37526285605,0.704545454545,0.75,0.577777777778,0.633361793786,0.596003441811,0.687545762851,0.2436108937,0.250435959695,0.527012697784,0.480874936913,0.611534389813,0.213006549325,0.032375,0.139987277798,6
0,0.504975124378,0.615,0.364939782068,0.704545454545,0.75,0.577777777778,0.637824319666,0.599419469609,0.684333034311,0.242071353051,0.244001221105,0.533767074315,0.488667441743,0.617584697387,0.192284076955,0.030875,0.142563973361,6
0,0.542288557214,0.625,0.385012425922,0.704545454545,0.75,0.577777777778,0.638273472663,0.59277397817,0.715323844309,0.241497522203,0.251105044971,0.534627944948,0.487748823794,0.617325039848,0.306283258289,0.102375,0.140537596434,8
