,AP,BLESS,Battig,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,nsubs
0.0,0.5049751243781094,0.665,0.3454406423246033,0.6103399471187257,0.5546425488341229,0.6980144497264819,0.19725608450137078,0.30175703556540456,0.551551671279609,0.5038985022842855,0.5809959375311246,0.40324396234138354,0.22775,0.1183747556623669,2
0.0,0.4975124378109453,0.62,0.35270502771936535,0.6018411725154783,0.555439571221303,0.6704549212304867,0.19123724342698095,0.3079687958807822,0.5595173504920052,0.5126936129905074,0.6100553460403425,0.39208964388047485,0.22725,0.15210686237226861,2
0.0,0.4900497512437811,0.655,0.3446759701777863,0.5953199571202454,0.5677368144033774,0.6903432407636791,0.18876453796501413,0.30837614001403385,0.5498401606097355,0.5105905403063961,0.5917573796821328,0.3871264838313549,0.227875,0.1534013918236986,2
0.0,0.5348258706467661,0.64,0.3523226916459568,0.6138341141789939,0.5706748825981575,0.7305351304576799,0.19649900290726993,0.3008115429267087,0.5411988527731357,0.4937333385226629,0.5722486345229566,0.42887842816209576,0.240125,0.14825769341359413,3
0.0,0.5223880597014925,0.615,0.3555725482699293,0.6169115324401971,0.5444043647618589,0.6851198249741922,0.19795137718410116,0.2938865181352377,0.5504284881397559,0.5066093625991588,0.5803252751028641,0.4414654113794515,0.239375,0.14122499634095365,3
0.0,0.4925373134328358,0.63,0.35671955649015485,0.6195577754369084,0.569759575996829,0.6883762641065502,0.19247432115223226,0.3074002015819668,0.5634244836805912,0.5288744120068779,0.5980451089293326,0.42493860008186657,0.244,0.14859875824747287,3
0.0,0.5149253731343284,0.635,0.35270502771936535,0.6223351999064487,0.5631869334192364,0.7254647017415254,0.19381815027153043,0.3009264894879637,0.5572685288690248,0.5125983766806902,0.5874558154230116,0.4251432664756447,0.245125,0.13904670384662035,3
0.0,0.504975124378,0.65,0.351749187536,0.612891283757,0.567249716964,0.685250956751,0.192362008735,0.306720373917,0.539917845624,0.491903601547,0.57733993069,0.448372902169,0.245875,0.155230870782,4
0.0,0.502487562189,0.655,0.367424966546,0.614861916038,0.567840630377,0.712417089916,0.186980321009,0.308762017426,0.544884732251,0.501517219593,0.57213745519,0.446633237822,0.253125,0.156758954013,4
0.0,0.524875621891,0.655,0.359204740967,0.613623941473,0.564767779097,0.71451519835,0.192871543836,0.299194557753,0.547459978122,0.501100279528,0.584100351424,0.423966434711,0.2405,0.165141546243,3
